id,pregunta,itc,opcion_1,opcion_2,opcion_3,respuesta_correcta
312,"Las prescripciones objeto de la ITC-BT 27 son aplicables a: (ITC-BT 27)",,"Las instalaciones eléctricas de viviendas.","Instalaciones de locales comerciales, oficinas o locales análogos que contengan bañera, ducha o aparato para uso análogo.","Las dos respuestas anteriores son correctas.","Las dos respuestas anteriores son correctas."
313,"En un restaurante, ¿cuál será la intensidad de cálculo si alimenta 3 pantallas fluorescentes de 2x36W cada una y 10 lámparas incandescentes de 60W cada una, a 230V? (ITC-BT 44)",,"10 A.","4,2 A.","3,5 A.","4,2 A."
314,"En la caja general de protección se instalarán: (ITC-BT 13)",,"Cortacircuitos fusibles en todos los conductores.","Cortacircuitos fusibles en las fases y el neutro.","Cortacircuitos fusibles en las fases.","Cortacircuitos fusibles en las fases."
315,"¿Cuál es el grado de protección mínimo exigido en las cajas de conexión para la instalación de una cabina de hidromasaje? (ITC-BT 27)",,"El REBT no especifica nada al respecto.","IP X5.","IP 5X.","IP X5."
316,"Las instalaciones eléctricas en baja tensión deberán ser verificadas: (ITC-BT 05)",,"Siguiendo la metodología de la norma UNE 20460-6-61.","Siguiendo la metodología de la norma UNE 20640-6-61.","Nunca se verifican.","Siguiendo la metodología de la norma UNE 20460-6-61."
317,"¿Qué dimensiones debe tener una canal protectora para alojar conductores de una derivación individual? (ITC-BT 15)",,"La que permita la ampliación de la sección de los conductores inicialmente instalados en un 100%.","La que permita la ampliación de la sección de los conductores inicialmente instalados en un 50%.","Será la que indica la tabla 1 de la ITC-BT 14.","La que permita la ampliación de la sección de los conductores inicialmente instalados en un 100%."
318,"Los receptores de clase II: (ITC-BT 43)",,"Tienen un aislamiento a masa que resiste una prueba sin tensión de 4.500 V durante un minuto.","No tienen ningún circuito interno ni externo que funcione bajo una tensión superior a 50 V.","Tienen un aislamiento suplementario.","Tienen un aislamiento suplementario."
319,"¿A qué altura deben instalarse los dispositivos de lectura del equipo de medida en un suministro para uno o dos usuarios? (ITC-BT 13)",,"Entre 0,8 m y 1,70 m.","Entre 0,7 m y 1,80 m.","Entre 0,7 m y 1,90 m.","Entre 0,7 m y 1,80 m."
320,"¿Cuál es la distancia mínima entre el contorno de un cable radiante instalado en el suelo y las paredes exteriores del local? (ITC-BT 46)",,"0,2 m.","0,3 m.","0,4 m.","0,2 m."
321,"¿Qué valor mínimo debe tener la resistencia de aislamiento entre una bañera y la estructura del edificio para que dicha bañera se considere aislada del edificio? (ITC-BT 27)",,"100 kΩ.","500 kΩ.","1 kΩ.","100 kΩ."
322,"¿Dónde podrán estar ubicados los contadores y demás dispositivos para la medida de la energía eléctrica? (ITC-BT 16)",,"En módulos o en paneles.","En armarios.","Las dos respuestas anteriores son correctas.","Las dos respuestas anteriores son correctas."
323,"¿Cómo se realizarán las canalizaciones de la instalación eléctrica de un stand de feria? (ITC-BT 34 6.3)",,"Las canalizaciones se realizarán mediante tubos o canales según lo dispuesto en la ITC-BT 20 e ITC-BT 21.","Las canalizaciones se realizarán mediante cables de tensión asignada 0,6/1 kV fijados directamente sobre las paredes.","Las canalizaciones se realizarán mediante cables de tensión asignada 230/400 V en falsos techos y falsos suelos.","Las canalizaciones se realizarán mediante tubos o canales según lo dispuesto en la ITC-BT 20 e ITC-BT 21."
324,"¿Cuál es la caída de tensión máxima admisible de la derivación individual si los contadores están concentrados en un sólo punto? (ITC-BT 15)",,"0,5%.","1%.","1,5%.","1%."
325,"¿Cómo será el cableado externo de una lámpara que tiene la conexión a la red en su interior? (ITC-BT 44)",,"La tensión asignada será como mínimo la tensión de alimentación y nunca inferior a 300/300 V.","No tendrá el adecuado aislamiento eléctrico y térmico.","Ninguna de las anteriores es correcta.","Ninguna de las anteriores es correcta."
326,"La longitud para calcular la caída de tensión de la derivación individual se toma: (ITC-BT 15)",,"Desde la caja general de protección hasta el arranque de las derivaciones individuales.","Desde caja general de protección hasta la acometida.","Desde el embarrado general de la concentración de contadores hasta los dispositivos generales de mando y protección de cada abonado.","Desde el embarrado general de la concentración de contadores hasta los dispositivos generales de mando y protección de cada abonado."
327,"¿Pueden utilizarse como conductores de protección las tuberías de gas? (ITC-BT 18)",,"No, en ningún caso.","Sí, siempre.","No, excepto que el conductor de protección sea utilizado para un esquema TN-C.","No, en ningún caso."
328,"Para la instalación de tubos empotrados en paredes es conveniente respetar las siguientes distancias: (ITC-BT 21)",,"En recorridos horizontales a 50 centímetros, como máximo, de suelo o techos.","En recorridos verticales, a una distancia de los ángulos de las esquinas, superior a 20 centímetros.","Las dos respuestas anteriores son correctas.","En recorridos horizontales a 50 centímetros, como máximo, de suelo o techos."
329,"En un edificio destinado principalmente a viviendas: (ITC-BT 15)",,"Se podrán conectar dos abonados a un neutro común en la derivación individual, si hay dos viviendas por planta.","La máxima caída de tensión admisible en la línea general de alimentación destinada a contadores totalmente concentrados será el 1%.","La máxima caída de tensión admisible en la derivación individual destinada a contadores concentrados en más de un lugar será el 0,5%.","La máxima caída de tensión admisible en la derivación individual destinada a contadores concentrados en más de un lugar será el 0,5%."
330,"¿Qué valor mínimo debe tener la resistencia de aislamiento entre una bañera y la estructura del edificio para que dicha bañera se considere aislada del edificio? (ITC-BT 27)",,"100 kΩ.","500 kΩ.","1 kΩ.","100 kΩ."
331,"¿A qué altura deberán estar instalados los dispositivos de lectura del equipo de medida en un suministro para uno o dos usuarios alimentados desde el mismo lugar? (ITC-BT 13)",,"Entre 0,8 m y 1,70 m.","Entre 0,7 m y 1,80 m.","Entre 0,7 m y 1,90 m.","Entre 0,7 m y 1,80 m."
332,"¿Cómo se realizarán las canalizaciones de la instalación eléctrica de un stand de feria? (ITC-BT 34 6.3)",,"Las canalizaciones se realizarán mediante tubos o canales según lo dispuesto en la ITC-BT 20 e ITC-BT 21.","Las canalizaciones se realizarán mediante cables de tensión asignada 0,6/1 kV fijados directamente sobre las paredes.","Las canalizaciones se realizarán mediante cables de tensión asignada 230/400 V en falsos techos y falsos suelos.","Las canalizaciones se realizarán mediante tubos o canales según lo dispuesto en la ITC-BT 20 e ITC-BT 21."
333,"Los receptores de clase II: (ITC-BT 43)",,"Tienen un aislamiento a masa que resiste una prueba sin tensión de 4.500 V durante un minuto.","No tienen ningún circuito interno ni externo que funcione bajo una tensión superior a 50 V.","Tienen un aislamiento suplementario.","Tienen un aislamiento suplementario."
334,"Las instalaciones eléctricas en baja tensión deberán ser verificadas previamente a su puesta en servicio: (ITC-BT 05)",,"Siguiendo la metodología de la norma UNE 20460-6-61.","Siguiendo metodología de la norma UNE 20640-6-61.","Nunca se verifican.","Siguiendo la metodología de la norma UNE 20460-6-61."
335,"¿Cuál es la distancia mínima entre el contorno de un cable radiante instalado en el suelo y las paredes exteriores del local? (ITC-BT 46)",,"0,2 m.","0,3 m.","0,4 m.","0,2 m."
336,"¿Dónde podrán estar ubicados los contadores y demás dispositivos para la medida de la energía eléctrica? (ITC-BT 16)",,"En módulos o en paneles.","En armarios.","Las dos respuestas anteriores son correctas.","Las dos respuestas anteriores son correctas."
337,"En un edificio destinado principalmente a viviendas: (ITC-BT 15)",,"Se podrán conectar dos abonados a un neutro común en la derivación individual, si hay dos viviendas por planta.","La máxima caída de tensión admisible en la línea general de alimentación destinada a contadores totalmente concentrados será el 1%.","La máxima caída de tensión admisible en la derivación individual destinada a contadores concentrados en más de un lugar será el 0,5%.","La máxima caída de tensión admisible en la derivación individual destinada a contadores concentrados en más de un lugar será el 0,5%."
338,"En una ducha sin plato con difusor fijo, ¿cuál es el radio alrededor del difusor que delimita el volumen 0? (ITC-BT 27)",,"0,6 m.","0,5 m.","0,8 m.","0,6 m."
339,"¿Qué dimensiones tendrá una canal protectora para alojar los conductores de una derivación individual? (ITC-BT 15)",,"La que permita la ampliación de la sección de los conductores inicialmente instalados en un 100%.","La que permita la ampliación de la sección de los conductores inicialmente instalados en un 50%.","Será la que indica la tabla 1 de la ITC-BT 14.","La que permita la ampliación de la sección de los conductores inicialmente instalados en un 100%."
340,"El circuito de iluminación de un restaurante alimenta 3 pantallas fluorescentes de 2 x 36 W cada una y 10 lámparas incandescentes de 60 W cada una. ¿Cuál será la intensidad de cálculo a efectos de determinar la sección del circuito si se supone un factor de potencia de la unidad y no se conoce la carga que suponen los elementos asociados a las lámparas? Tensión 230 V. (ITC-BT 44)",,"10 A.","4,2 A.","3,5 A.","4,2 A."
341,"¿Cuál es la caída de tensión máxima admisible de la derivación individual si los contadores están concentrados en un sólo punto? (ITC-BT 15)",,"0,5%.","1%.","1,5%.","1%."
342,"¿Cuál será la profundidad mínima de enterramiento de las tomas de tierra? (ITC-BT 18)",,"0,4 m.","0,5 m.","0,6 m.","0,5 m."
343,"A la protección de las personas contra los peligros que pueden derivarse de un contacto con las partes activas de los materiales eléctricos realizada por medio de barreras o envolventes se le denomina: (ITC-BT 24)",,"Protección contra contactos indirectos.","Protección contra contactos directos.","Protección contra corriente de sobrecarga.","Protección contra contactos directos."
344,"¿Cuál es grado de protección mínimo exigido a las uniones de las cajas de conexión con los cables y/o tubos para la instalación de una cabina de hidromasaje? (ITC-BT 27)",,"El REBT no especifica nada al respecto.","IP X5.","IP 5X.","IP X5."
345,"¿Se admite la instalación de cajas de conexión en el volumen 0 de una piscina? (ITC-BT 31)",,"No se admitirán cajas de conexión en el volumen 0.","No se admitirán cajas de conexión en el volumen 1.","Se admitirán cajas de conexión en el volumen 1 si son de MBTS e IP X5.","No se admitirán cajas de conexión en el volumen 0."
346,"En la caja general de protección se instalarán: (ITC-BT 13)",,"Cortacircuitos fusibles en todos los conductores.","Cortacircuitos fusibles en las fases y el neutro.","Cortacircuitos fusibles en las fases.","Cortacircuitos fusibles en las fases."
347,"En la instalación eléctrica de una oficina: (ITC-BT 26)",,"Podrán utilizarse como conductores de tierra las tuberías de agua y de calefacción.","En ningún caso la tensión nominal será superior a 250 V.","Deberá colocarse en una placa de forma indeleble el nombre del instalador, la fecha en que se realizó la instalación y la intensidad asignada del interruptor general automático.","Deberá colocarse en una placa de forma indeleble el nombre del instalador, la fecha en que se realizó la instalación y la intensidad asignada del interruptor general automático."
348,"¿Qué grado de protección mínimo tendrán los equipos eléctricos de los puntos de luz de alumbrado exterior para montaje en intemperie? (ITC-BT 09)",,"IP45 e IK 08.","IP54 e IK 08.","IP54 e IK 09.","IP54 e IK 08."
349,"Las prescripciones objeto de la ITC-BT 27 son aplicables a: (ITC-BT 27)",,"Las instalaciones eléctricas de viviendas.","En la medida que pueda afectarles a las instalaciones de locales comerciales, de oficinas y a las de cualquier otro local destinado a fines análogos, que contengan una bañera o una ducha o una ducha prefabricada o una bañera de hidromasaje o aparato para uso análogo.","Las dos respuestas anteriores son correctas.","Las dos respuestas anteriores son correctas."
350,"La longitud para calcular la caída de tensión de la derivación individual se toma: (ITC-BT 15)",,"Desde la caja general de protección hasta el arranque de las derivaciones individuales.","Desde caja general de protección hasta la acometida.","Desde el embarrado general de la concentración de contadores hasta los dispositivos generales de mando y protección de cada abonado.","Desde el embarrado general de la concentración de contadores hasta los dispositivos generales de mando y protección de cada abonado."
351,"Para la instalación de tubos empotrados en paredes es conveniente respetar las siguientes distancias: (ITC-BT 21)",,"En recorridos horizontales a 50 centímetros, como máximo, de suelo o techos.","En recorridos verticales, a una distancia de los ángulos de las esquinas, superior a 20 centímetros.","Las dos respuestas anteriores son correctas.","En recorridos horizontales a 50 centímetros, como máximo, de suelo o techos."
352,"Un minicines con una capacidad de 50 butacas debe disponer de: (ITC-BT 28)",,"Suministro de socorro.","Suministro de reserva.","No debe disponer de suministro complementario.","Suministro de socorro."
353,"¿Cuál es el factor de potencia mínimo que tendrá cada punto de luz en la instalación de un alumbrado exterior? (ITC-BT 09)",,"Deberá corregirse hasta un valor mayor o igual a 0,90.","Deberá corregirse hasta un valor igual a 0,90.","Deberá corregirse hasta un valor menor o igual a 0,90.","Deberá corregirse hasta un valor mayor o igual a 0,90."
354,"¿Pueden utilizarse como conductores de protección las tuberías de gas? (ITC-BT 18)",,"No, en ningún caso.","Sí, siempre.","No, excepto que el conductor de protección sea utilizado para un esquema TN-C.","No, en ningún caso."
355,"Para que un interruptor diferencial sea de alta sensibilidad, ¿qué valor debe tener? (ITC-BT 01)",,"Igual o inferior a 10 mA.","Igual o inferior a 30 mA.","Igual o superior a 30 mA.","Igual o inferior a 30 mA."
356,"¿Se considera protección suficiente contra los cortocircuitos la protección formada por un relé térmico asociado al contactor de arranque de un motor de un puente grúa? (ITC-BT 32)",,"No puede considerarse suficiente protección.","Sí, siempre.","Solamente en caso de motores con potencia inferior a 5 kW.","No puede considerarse suficiente protección."
357,"¿Cómo serán las tomas del circuito de uso general y frigorífico de una vivienda? (ITC-BT 25)",,"Base de 16 A 2p + T.","Base de 25 A 2p + T.","Punto de luz.","Base de 16 A 2p + T."
358,"¿Qué protección tendrán las líneas de alimentación a los puntos de luz para un alumbrado exterior? (ITC-BT 09)",,"Contra sobreintensidades, contra corrientes de defecto a tierra y contra sobretensiones cuándo los equipos instalados lo precisen.","Sólo contra corrientes de defecto a tierra.","Sólo contra sobreintensidades.","Contra sobreintensidades, contra corrientes de defecto a tierra y contra sobretensiones cuándo los equipos instalados lo precisen."
359,"¿Cómo será el cableado externo de una lámpara que tiene la conexión a la red en su interior? (ITC-BT 44)",,"La tensión asignada será como mínimo la tensión de alimentación y nunca inferior a 300/300 V.","No tendrá el adecuado aislamiento eléctrico y térmico.","Ninguna de las anteriores es correcta.","Ninguna de las anteriores es correcta."
360,"Los interruptores diferenciales: (ITC-BT 24)",,"Se emplean como medida de protección contra contactos directos cuando las instalaciones tienen tensiones superiores a 250 V.","Provocan el corte automático de la alimentación de la instalación que protegen cuando la suma vectorial de las tensiones que atraviesan los polos del aparato alcanza un valor predeterminado.","Se emplean como medida de protección complementaria contra contactos directos si tienen una sensibilidad igual o inferior a 30 mA.","Se emplean como medida de protección complementaria contra contactos directos si tienen una sensibilidad igual o inferior a 30 mA."
361,"Indíquese el porcentaje máximo, respecto de la potencia total contratada para el suministro normal, del suministro complementario obligatorio que debe tener una estación de trenes. (Artic. 10.1.B REBT)",,"25%.","50%.","No existe limitación máxima de potencia.","No existe limitación máxima de potencia."
362,"¿Qué nombre tiene la corriente que circula debido a un defecto de aislamiento? (ITC-BT 01)",,"Corriente de defecto a tierra.","Corriente diferencial residual.","Corriente de defecto.","Corriente de defecto."
363,"Las prescripciones del Reglamento Electrotécnico de Baja Tensión y sus Instrucciones Técnicas Complementarias son de carácter general unas y de carácter específico otras: (REBT Artículo 2)",,"Las específicas sustituirán, modificarán o complementarán a las generales.","Las generales prevalecerán sobre las específicas.","Ninguna de las anteriores es correcta.","Las específicas sustituirán, modificararán o complementarán a las generales."
364,"Antes de hacer los cimientos de una vivienda se instalará en el fondo de la zanja de cimentación un cable rígido de cobre desnudo, ¿qué sección mínima tendrá? (ITC-BT 26)",,"35 mm² de sección mínima.","Según ITC-BT 19.","Según ITC-BT 18.","Según ITC-BT 18."
365,"En las instalaciones de pediluvios, ¿a qué distancia está el plano horizontal que delimita el volumen 1? (ITC-BT 31)",,"A 1,5 m del borde del recipiente.","A 2 m del borde del recipiente.","A 2,5 m por encima del suelo o de la superficie.","A 2,5 m por encima del suelo o de la superficie."
366,"El aislamiento cuyas características mecánicas y eléctricas le hacen equivalente a un doble aislamiento recibe el nombre de: (ITC-BT 01)",,"Aislamiento normal.","Aislamiento reforzado.","Aislamiento funcional.","Aislamiento reforzado."
367,"En una instalación generadora asistida, ¿puede utilizarse la toma de tierra de las masas para la puesta a tierra del neutro? (ITC-BT 40)",,"Sí, previa autorización específica del Órgano competente de la Comunidad Autónoma.","Sí, siempre.","No, en ningún caso.","Sí, previa autorización específica del Órgano competente de la Comunidad Autónoma."
368,"Los interruptores diferenciales (ITC-BT 24)",,"No constituyen por sí mismos una protección contra contactos directos.","No constituyen por sí mismos una protección contra contactos indirectos.","No constituyen por sí mismos una protección contra contactos indirectos en un esquema TN-S.","No constituyen por sí mismos una protección contra contactos directos."
369,"En las instalaciones receptoras los conductores o los cables podrán ser (ITC-BT 19)",,"Sólo de cobre.","De cobre o aluminio y estarán siempre aislados.","De cobre o aluminio y estarán siempre aislados, excepto cuando vayan sobre aisladores.","De cobre o aluminio y estarán siempre aislados, excepto cuando vayan sobre aisladores."
370,"La caída de tensión máxima a considerar en la derivación individual de una carpintería instalada en un edificio industrial que tiene los contadores centralizados por plantas será (ITC-BT 15)",,"1%.","0,5%.","1,5%.","0,5%."
371,"En relación con la instalación de rectificadores, ¿cómo se instalarán los circuitos de corriente continua? (ITC-BT 48)",,"Siguiendo las prescripciones que correspondan a su tensión asignada.","Siguiendo las prescripciones de la ITC-BT 49.","Ninguna de las respuestas anteriores es correcta.","Siguiendo las prescripciones que correspondan a su tensión asignada."
372,"El cableado interno de un receptor de alumbrado tendrá una tensión asignada mínima de (ITC-BT 44)",,"300/300 V.","450/750 V.","0,6/1 kV.","300/300 V."
373,"¿A qué distancia se recomienda poner los recorridos verticales de los tubos empotrados con respecto a los ángulos de las esquinas? (ITC-BT 21)",,"20 cm.","35 cm.","40 cm.","20 cm."
374,"¿Qué norma deben cumplir las canalizaciones eléctricas prefabricadas para uso general? (ITC-BT 20)",,"La norma UNE-EN 60570.","La norma UNE-EN 60439-2.","La norma UNE 60439-2.","La norma UNE-EN 60439-2."
375,"Los equipos eléctricos del volumen 0 de piscinas han de tener un grado de protección (ITC-BT 31)",,"IP X5.","IP X6.","IP X8.","IP X8."
376,"Indíquese la sección mínima del conductor de tierra de cobre de un edificio industrial si no está protegido contra la corrosión y no protegido mecánicamente, el conductor de fase es de 25 mm² y el conductor de tierra no está enterrado (ITC-BT 18)",,"16 mm².","25 mm².","35 mm².","16 mm²."
377,"¿Cuál es la sección mínima del conductor neutro de aluminio de una línea general de alimentación? (ITC-BT 14)",,"10 mm².","16 mm².","25 mm².","16 mm²."
378,"¿Cómo se pueden realizar las canalizaciones bajo canales aislantes en un local mojado? (ITC-BT 30)",,"Se instalarán en superficie y las conexiones, empalmes y derivaciones se realizarán en el interior de cajas.","Los conductores tendrán una tensión asignada de 450/750 V.","Las dos respuestas anteriores son correctas.","Las dos respuestas anteriores son correctas."
379,"Cualquier variación en las condiciones y requisitos establecidos para la concesión del certificado de instalador autorizado en baja tensión, cuando se dejen de cumplir los requisitos necesarios para la concesión del certificado: (ITC-BT 03)",,"Deberá ser comunicada al Órgano competente de la Comunidad Autónoma en el plazo de 1 mes.","Deberá ser comunicada al Órgano competente de la Comunidad Autónoma en el plazo de 1 año.","Deberá ser comunicada al Órgano competente de la Comunidad Autónoma en el plazo de 15 días.","Deberá ser comunicada al Órgano competente de la Comunidad Autónoma en el plazo de 15 días."
380,"En la instalación de una toma de tierra de protección en una vivienda, ¿deberán disponerse obligadamente electrodos (por ejemplo picas) hincados verticalmente en el terreno? (ITC-BT 26)",,"Es obligatorio hacer un anillo perimetral con cable rígido de cobre desnudo. A este anillo deberán conectarse electrodos hincados verticalmente en el terreno cuando se prevea la necesidad de disminuir su resistencia de tierra.","Sí, siempre es obligatorio.","El anillo perimetral no es obligatorio pero sí los electrodos hincados verticalmente.","Es obligatorio hacer un anillo perimetral con cable rígido de cobre desnudo. A este anillo deberán conectarse electrodos hincados verticalmente en el terreno cuando se prevea la necesidad de disminuir su resistencia de tierra."
381,"Indíquese si alguno de los siguientes requisitos es necesario para obtener la autorización como instalador autorizado en baja tensión: (ITC-BT 03)",,"Estar dado de alta en el impuesto de actividades económicas.","No estar incluido en el censo de obligaciones tributarias.","Las dos anteriores son necesarias.","Estar dado de alta en el impuesto de actividades económicas."
382,"¿Hasta qué valor es obligatorio compensar el factor de potencia de una lámpara de descarga? (ITC-BT 44)",,"Hasta un valor mínimo de 0,8.","Hasta un valor mínimo de 0,89.","Hasta un valor mínimo de 0,9.","Hasta un valor mínimo de 0,9."
383,"¿Cuál es la sección mínima para el hilo de mando de una derivación individual? (ITC-BT 15)",,"6 mm².","1,5 mm².","2,5 mm².","1,5 mm²."
384,"La caída de tensión en la línea general de alimentación se entiende que es desde la caja general de protección hasta: (ITC-BT 14)",,"La centralización de contadores.","El interruptor de control de potencia.","Los dispositivos generales de mando y protección.","La centralización de contadores."
385,"¿Cuáles de los siguientes equipos se consideran de categoría III para la protección contra sobretensiones? (ITC-BT 23)",,"Contadores de energía.","Ordenadores.","Ninguna de las respuestas anteriores es correcta.","Ninguna de las respuestas anteriores es correcta."
386,"En una instalación generadora aislada de baja tensión, ¿qué tasa de armónicos tendrán como máximo los generadores? (ITC-BT 40)",,"Para armónicos de orden 5, la tasa de armónicos será como máximo de 5.","Para armónicos de orden 3, la tasa de armónicos será como máximo de 3.","La tasa de armónicos será como máximo de 5 en cualquier caso.","Para armónicos de orden 5, la tasa de armónicos será como máximo de 5."
387,"¿Qué factor de reducción por simultaneidad se tendrá que aplicar a la carga correspondiente a los servicios generales de un edificio de viviendas? (ITC-BT 10)",,"Depende del número de viviendas.","No se aplica factor de simultaneidad.","Ninguna de las anteriores respuestas es correcta.","No se aplica factor de simultaneidad."
388,"¿Cuál es el objetivo general del alumbrado de emergencia? (ITC-BT 28)",,"Garantizar la seguridad de las personas que evacuen una zona o que tienen que terminar un trabajo potencialmente peligroso antes de abandonar la zona.","Permitir la continuidad de las actividades normales.","Asegurar, en caso de fallo de la alimentación del alumbrado normal, la iluminación en los locales y accesos hasta las salidas para una eventual evacuación del público o iluminar otros puntos que se señalen.","Asegurar, en caso de fallo de la alimentación del alumbrado normal, la iluminación en los locales y accesos hasta las salidas para una eventual evacuación del público o iluminar otros puntos que se señalen."
389,"¿Cómo serán los cables instalados en el volumen 0 de una fuente? (ITC-BT 31)",,"Los cables serán de las características indicadas para los locales mojados en la ITC-BT 30, además se instalarán lo más cerca posible del borde de la pileta.","Los cables serán de las características indicadas para los locales mojados en la ITC-BT 30, además se instalarán lo más lejos posible del borde de la pileta.","Los cables serán de tensión asignada mínima 0,6/1 kV y podrán ir directamente sumergidos en el agua.","Los cables serán de las características indicadas para los locales mojados en la ITC-BT 30, además se instalarán lo más lejos posible del borde de la pileta."
390,"¿Cuál será la sección mínima de los cables de una centralización de contadores? (ITC-BT 16)",,"10 mm².","6 mm².","4 mm².","6 mm²."
391,"¿El factor de potencia mínimo en instalaciones con generadores síncronos conectados a la red pública no será inferior a? (ITC-BT 40)",,"0,8 y sólo se permitirá en adelanto.","0,8, en adelanto o en retraso.","0,8 y sólo se permitirá en retraso.","0,8, en adelanto o en retraso."
392,"¿Qué temperatura máxima de servicio tendrá un cable de PVC para alimentación a paneles de folio radiante? (ITC-BT 46)",,"90 °C.","70 °C.","60 °C.","70 °C."
393,"Una línea general de alimentación debe transportar una potencia de 120 kW a 400/230V. ¿Qué sección será necesaria para los conductores de fase? (UNE 20.460-5-523)",,"50 mm².","95 mm².","70 mm².","95 mm²."
394,"¿Cuál es la caída de tensión máxima en la conexión de generadores asíncronos respecto a la red cuando trabajan en paralelo? (ITC-BT 40)",,"8%.","5%.","3%.","3%."
395,"¿Qué grado mínimo de resistencia a la corrosión deben tener los tubos instalados en montaje superficial en instalaciones eléctricas de locales mojados? (ITC-BT 30 2.1.1)",,"4.","5.","3.","4."
396,"¿Cuál será la anchura mínima de los pasillos de servicio de un local con baterías de acumuladores? (ITC-BT 30)",,"La anchura mínima de los pasillos de servicio será de 0,75 cm.","La anchura mínima de los pasillos de servicio será de 75 cm.","La anchura mínima de los pasillos de servicio será de 75 m.","La anchura mínima de los pasillos de servicio será de 75 cm."
397,"Un circuito MBTF, ¿puede considerarse como circuito a tensión diferente respecto a un circuito MBTS o MBTP? (ITC-BT 36)",,"Un circuito MBTF siempre se considera como de tensión diferente.","Si ambos son de 24 V se consideran la misma tensión.","Si ambos son de 24 V se consideran la misma tensión.","Un circuito MBTF siempre se considera como de tensión diferente."
398,"¿Qué sección será necesaria para alimentar un motor trifásico de 50 CV, factor de potencia 0,6, alimentado a 400 V? (UNE 20.460-5-523)",,"No puede instalarse un motor con ese factor.","50 mm².","70 mm².","70 mm²."
399,"¿Cómo se instalarán cercas eléctricas para ganado cercanas con diferentes alimentadores? (ITC-BT 39)",,"Se tomarán medidas para evitar que una persona o animal toque simultáneamente ambas cercas (separación 2 m).","No se pueden instalar cercas a menos de 4 m con distintas alimentaciones.","Se colocarán carteles advirtiendo de dos fuentes de alimentación.","Se tomarán medidas para evitar que una persona o animal toque simultáneamente ambas cercas (separación 2 m)."
400,"¿Los conductores a utilizar en derivaciones individuales serán...? ITC-BT 15",,"De cobre o aluminio, aislados y normalmente unipolares.","De cobre o aluminio, aislados y unipolares.","De cobre o aluminio, aislados y normalmente multipolares.","De cobre o aluminio, aislados y normalmente unipolares."
401,"Para los apartados de la norma UNE 20460-7-705 que se encuentran en estudio, ¿qué prescripciones particulares se aplicarán? ITC-BT 35",,"Se aplicará lo dispuesto para estos apartados en la ITC-BT 35.","Se aplicará lo dispuesto para estos apartados en instalaciones provisionales y temporales de obra.","Se aplicará lo dispuesto para estos apartados en la ITC-BT 34.","Se aplicará lo dispuesto para estos apartados en instalaciones provisionales y temporales de obra."
402,"¿Dónde se situarán los dispositivos generales de mando y protección? ITC-BT 17",,"Lo más lejos posible del punto de entrada de la derivación individual en el local o vivienda del usuario.","Lo más cerca posible del punto de entrada de la derivación individual en el local o vivienda del usuario.","Al lado de la puerta de entrada del aseo de la vivienda o local.","Lo más cerca posible del punto de entrada de la derivación individual en el local o vivienda del usuario."
403,"En un edificio de oficinas, ¿qué carga mínima se considera para una oficina de 30m²? ITC-BT 10",,"3.000 W.","3.450 W.","5.750 W.","3.450 W."
404,"¿Cuál es la misión de la unidad funcional de interruptor general de maniobra en una concentración de contadores? ITC-BT 16",,"Su misión es dejar fuera de servicio, en caso de necesidad, toda la concentración de contadores.","Su misión es dejar fuera de servicio, en caso de necesidad, parte de la concentración de contadores.","Su misión es proteger la concentración de contadores.","Su misión es dejar fuera de servicio, en caso de necesidad, toda la concentración de contadores."
405,"Indíquese la sección mínima del conductor de tierra de cobre de un edificio industrial si no está protegido contra la corrosión y no protegido mecánicamente, el conductor de fase es de 95 mm² y el conductor de tierra está enterrado: ITC-BT 18",,"50 mm².","25 mm².","95 mm².","50 mm²."
406,"¿Cómo se denominará un tubo para una instalación interior según su tamaño? ITC-BT 21",,"La denominación se realizará en función del diámetro exterior.","La denominación se realizará en función del diámetro interior.","La denominación se realizará por el diámetro interior o por el diámetro exterior.","La denominación se realizará en función del diámetro exterior."
407,"¿A partir de qué potencia prevista se hace necesario un proyecto para la ejecución de una industria? ITC-BT 04",,"15 kW.","20 kW.","21 kW.","20 kW."
408,"¿Cómo denominamos a la tensión que aparece entre partes simultáneamente accesibles al ocurrir un fallo de aislamiento? ITC-BT 01",,"Tensión asignada.","Tensión de defecto.","Tensión de contacto.","Tensión de contacto."
409,"Se podrá instalar un conductor de protección común a varios circuitos en la instalación de una discoteca. ITC-BT 18",,"Sí, en cuyo caso su sección debe dimensionarse en función de la fase del circuito de mayor sección.","Nunca.","Sólo en caso debidamente justificados por imposibilidad técnica de instalar un conductor de protección por circuito.","Sí, en cuyo caso su sección debe dimensionarse en función de la fase del circuito de mayor sección."
410,"¿Puede considerarse un centro de transformación como local afecto a un servicio eléctrico? (ITC-BT 30)",,"No.","Sí.","Solamente si su potencia es superior a 100 kW.","Sí."
